"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;7;2015 Monaco;09/05/2015;Sam Bird;2;Virgin Racing;Virgin;4;12;47;4801;0;12,0,0;12"
"1;7;2015 Monaco;09/05/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;5;3;47;5881;0;10,0,0;10"
"1;7;2015 Monaco;09/05/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;6;7;47;11032;0;8,0,0;8"
"1;7;2015 Monaco;09/05/2015;Stéphane Sarrazin;30;Venturi;Venturi;7;10;47;26472;0;6,0,0;6"
"1;7;2015 Monaco;09/05/2015;Charles Pic;88;NEXTEV TCR;NIO-NextEV;8;18;47;49538;0;4,0,0;4"
"1;7;2015 Monaco;09/05/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;9;20;47;52658;0;2,0,0;2"
"1;7;2015 Monaco;09/05/2015;Nick Heidfeld;23;Venturi;Venturi;10;17;47;52936;0;1,0,0;1"
"1;7;2015 Monaco;09/05/2015;Jarno Trulli;10;Trulli;Trulli;11;14;47;58984;0;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Scott Speed;28;Andretti;BMW-Andretti;12;15;47;+1:14.1382;0;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;13;19;46;+1 lap;0;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Bruno Senna;21;Mahindra Racing;Mahindra;99;9;0;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Daniel Abt;66;Audi Sport ABT;Audi;99;6;14;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;99;8;0;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;99;13;33;99:99.999;1;0,0,2;2"
"1;7;2015 Monaco;09/05/2015;Loïc Duval;6;Dragon Racing;Dragon;99;5;24;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Salvador Durán;77;Amlin Aguri;Techeetah;99;11;28;99:99.999;1;0,0,0;0"
"1;7;2015 Monaco;09/05/2015;Vitantonio Liuzzi;18;Trulli;Trulli;99;16;36;99:99.999;1;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;1;6;33;48:26.566;0;25,0,0;25"
"1;8;2015 Berlin;23/05/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;2;3;33;2433;0;18,0,0;18"
"1;8;2015 Berlin;23/05/2015;Loïc Duval;6;Dragon Racing;Dragon;3;8;33;3508;0;15,0,0;15"
"1;8;2015 Berlin;23/05/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO-NextEV;4;13;33;3975;0;12,0,2;14"
"1;8;2015 Berlin;23/05/2015;Nick Heidfeld;23;Venturi;Venturi;5;4;33;13046;0;10,0,0;10"
"1;8;2015 Berlin;23/05/2015;Stéphane Sarrazin;30;Venturi;Venturi;6;9;33;13335;0;8,0,0;8"
"1;8;2015 Berlin;23/05/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;7;10;33;13678;0;6,0,0;6"
"1;8;2015 Berlin;23/05/2015;Sam Bird;2;Virgin Racing;Virgin;8;15;33;14055;0;4,0,0;4"
"1;8;2015 Berlin;23/05/2015;Vitantonio Liuzzi;18;Trulli;Trulli;9;11;33;15636;0;2,0,0;2"
"1;8;2015 Berlin;23/05/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;10;7;33;16602;0;1,0,0;1"
"1;8;2015 Berlin;23/05/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;11;19;33;16797;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;12;14;33;20594;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Scott Speed;28;Andretti;BMW-Andretti;13;12;33;21149;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Daniel Abt;66;Audi Sport ABT;Audi;14;5;33;23688;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Charles Pic;88;NEXTEV TCR;NIO-NextEV;15;17;33;25491;0;0,0,0;0"
